student_id,fee_submission_date,day_of_month
14,2023-03-04,4
70,2022-11-01,1
85,2023-04-26,26
9,2022-06-24,24
30,2022-03-24,24
45,2023-04-21,21
72,2023-11-13,13
26,2022-02-21,21
42,2024-05-15,15
71,2022-08-11,11
18,2024-05-03,3
75,2024-11-30,30
28,2022-02-25,25
97,2024-07-15,15
86,2022-02-28,28
86,2024-04-22,22
24,2024-03-11,11
79,2023-07-07,7
42,2023-08-23,23
56,2022-08-18,18
30,2022-02-21,21
50,2023-03-10,10
88,2023-12-06,6
76,2024-05-03,3
90,2022-12-27,27
65,2022-08-29,29
27,2022-12-25,25
37,2022-08-09,9
51,2022-12-29,29
88,2022-12-29,29
35,2023-01-27,27
49,2022-06-12,12
21,2022-04-16,16
26,2023-08-27,27
49,2024-09-09,9
100,2023-08-11,11
15,2023-01-31,31
15,2022-04-20,20
3,2024-08-31,31
59,2024-06-15,15
83,2022-04-12,12
61,2024-10-14,14
13,2023-11-13,13
82,2024-03-26,26
100,2022-12-28,28
77,2022-11-01,1
58,2023-02-02,2
33,2022-10-29,29
35,2023-06-07,7
77,2024-10-29,29
83,2022-02-21,21
73,2022-10-29,29
3,2024-05-03,3
39,2023-08-31,31
60,2024-08-13,13
9,2024-11-30,30
27,2023-04-26,26
36,2024-03-02,2
69,2024-09-21,21
21,2022-05-04,4
35,2022-07-27,27
61,2023-03-03,3
33,2022-08-16,16
37,2022-12-25,25
35,2024-12-03,3
91,2023-06-20,20
36,2024-06-29,29
94,2024-07-15,15
29,2023-07-17,17
78,2024-08-12,12
74,2023-03-04,4
100,2023-09-02,2
14,2023-02-02,2
12,2022-10-29,29
54,2022-02-15,15
31,2022-10-14,14
27,2022-04-19,19
60,2024-01-05,5
39,2023-08-23,23
6,2022-07-27,27
62,2024-05-05,5
68,2022-11-02,2
34,2024-01-06,6
73,2023-09-30,30
34,2024-07-15,15
72,2023-07-24,24
48,2023-11-11,11
3,2024-08-23,23
47,2024-09-21,21
71,2023-03-03,3
12,2024-09-12,12
86,2022-02-11,11
54,2024-09-04,4
54,2022-06-23,23
82,2024-11-07,7
12,2024-06-12,12
12,2024-12-06,6
78,2023-07-29,29
83,2024-03-11,11
36,2022-02-21,21
23,2024-03-11,11
11,2024-09-11,11
23,2022-09-10,10
41,2024-04-12,12
44,2022-02-25,25
64,2022-06-24,24
21,2023-07-24,24
67,2024-11-18,18
92,2022-02-24,24
2,2024-03-07,7
10,2022-08-08,8
38,2022-11-02,2
55,2024-05-02,2
72,2022-10-08,8
33,2023-02-01,1
45,2024-03-07,7
34,2024-03-20,20
31,2022-06-12,12
28,2022-12-28,28
10,2022-06-23,23
21,2022-02-24,24
87,2024-03-30,30
56,2024-06-12,12
2,2024-01-06,6
62,2022-11-13,13
32,2022-07-20,20
79,2022-12-25,25
7,2024-05-15,15
70,2022-03-07,7
56,2022-11-01,1
71,2022-09-28,28
11,2024-08-12,12
14,2023-10-05,5
43,2022-04-19,19
68,2022-11-13,13
56,2023-04-03,3
65,2024-09-25,25
20,2023-10-21,21
3,2022-07-20,20
30,2022-10-08,8
18,2024-06-15,15
50,2023-11-20,20
72,2024-02-26,26
10,2022-07-28,28
35,2022-06-30,30
60,2022-06-23,23
47,2024-03-20,20
34,2023-01-23,23
19,2023-02-02,2
63,2022-07-20,20
18,2023-11-25,25
20,2021-12-16,16
29,2023-10-27,27
69,2023-12-06,6
62,2023-07-29,29
56,2023-05-01,1
7,2024-09-11,11
62,2023-06-07,7
53,2022-02-24,24
88,2023-08-11,11
78,2023-05-02,2
53,2024-06-15,15
97,2024-10-29,29
54,2024-10-29,29
58,2023-08-23,23
36,2022-12-30,30
59,2022-08-18,18
70,2023-04-05,5
17,2022-10-13,13
28,2024-01-06,6
58,2023-08-27,27
48,2024-04-12,12
7,2023-11-25,25
60,2023-05-29,29
91,2024-12-03,3
94,2024-11-30,30
84,2023-06-15,15
100,2022-08-29,29
22,2024-11-18,18
24,2024-03-20,20
64,2023-08-23,23
91,2022-12-30,30
58,2023-01-10,10
49,2022-12-27,27
65,2023-09-30,30
28,2024-01-05,5
55,2024-03-11,11
2,2022-08-11,11
10,2024-02-26,26
48,2024-08-31,31
58,2022-12-30,30
25,2024-03-20,20
17,2022-01-05,5
80,2024-05-03,3
37,2022-02-15,15
32,2024-03-30,30
